"","county","GEOID","age_grp10","pop","pop_pct"
"1","Adams","53001","0-9",4043,0.204615618199302
"2","Adams","53001","10-19",3548,0.179563743104408
"3","Adams","53001","20-29",2610,0.132091705045802
"4","Adams","53001","30-39",2366,0.119742901968723
"5","Adams","53001","40-49",2098,0.106179462523407
"6","Adams","53001","50-59",1933,0.0978288374917759
"7","Adams","53001","60-69",1731,0.0876056480591123
"8","Adams","53001","70-79",952,0.0481805759400779
"9","Adams","53001","80+",478,0.0241915076673921
"10","Asotin","53003","0-9",2424,0.107209199469261
"11","Asotin","53003","10-19",2580,0.114108801415303
"12","Asotin","53003","20-29",2364,0.104555506413092
"13","Asotin","53003","30-39",2587,0.114418398938523
"14","Asotin","53003","40-49",2492,0.110216718266254
"15","Asotin","53003","50-59",3027,0.133878814683768
"16","Asotin","53003","60-69",3439,0.152100840336134
"17","Asotin","53003","70-79",2349,0.103892083149049
"18","Asotin","53003","80+",1348,0.0596196373286157
"19","Benton","53005","0-9",29846,0.147842498154817
"20","Benton","53005","10-19",28957,0.143438826612244
"21","Benton","53005","20-29",25845,0.128023499457591
"22","Benton","53005","30-39",27615,0.136791214452365
"23","Benton","53005","40-49",23157,0.114708461092646
"24","Benton","53005","50-59",24172,0.119736275058575
"25","Benton","53005","60-69",22581,0.111855238585872
"26","Benton","53005","70-79",13020,0.0644947170802023
"27","Benton","53005","80+",6684,0.0331092695056891
"28","Chelan","53007","0-9",9972,0.129445973311179
"29","Chelan","53007","10-19",9778,0.126927670180176
"30","Chelan","53007","20-29",9331,0.121125188223688
"31","Chelan","53007","30-39",9517,0.123539643802897
"32","Chelan","53007","40-49",8421,0.109312529207124
"33","Chelan","53007","50-59",9773,0.126862765460304
"34","Chelan","53007","60-69",10477,0.136001350018173
"35","Chelan","53007","70-79",6247,0.0810919570071136
"36","Chelan","53007","80+",3520,0.0456929227893452
"37","Clallam","53009","0-9",7271,0.0947522055853109
"38","Clallam","53009","10-19",7083,0.0923022792134173
"39","Clallam","53009","20-29",7675,0.100016940980231
"40","Clallam","53009","30-39",8193,0.106767270026193
"41","Clallam","53009","40-49",7273,0.0947782686318204
"42","Clallam","53009","50-59",9668,0.125988766826954
"43","Clallam","53009","60-69",14171,0.184669716043108
"44","Clallam","53009","70-79",10177,0.132621812163624
"45","Clallam","53009","80+",5226,0.0681027405293405
"46","Clark","53011","0-9",61427,0.127479729463305
"47","Clark","53011","10-19",64952,0.134795177822466
"48","Clark","53011","20-29",60445,0.125441780445236
"49","Clark","53011","30-39",64304,0.13345038050708
"50","Clark","53011","40-49",63744,0.13228820998761
"51","Clark","53011","50-59",62840,0.130412134720467
"52","Clark","53011","60-69",55948,0.116109136112996
